stem,cohort,layer,a_Fpz,a_Pz,a_EOG
SC4202,SC,3,0.10006208717823029,0.8999372124671936,7.903134360276454e-07
SC4202,SC,4,0.038473159074783325,0.9614725112915039,5.427901851362549e-05
SC4202,SC,5,0.025825873017311096,0.31749504804611206,0.656679093837738
SC4202,SC,6,0.7760002017021179,0.030203502625226974,0.1937962770462036
SC4202,SC,7,0.07774952054023743,0.4462549686431885,0.4759955108165741
SC4202,SC,8,0.06852858513593674,0.928063154220581,0.0034082585480064154
SC4202,SC,9,0.45953404903411865,0.5298901796340942,0.010575808584690094
SC4202,SC,10,0.013121852651238441,0.0017963382415473461,0.9850817918777466
SC4202,SC,11,0.5968459844589233,0.3263513743877411,0.07680264115333557
SC4202,SC,12,0.020622488111257553,0.8472224473953247,0.13215503096580505
SC4232,SC,0,0.42052534222602844,0.46524912118911743,0.11422555893659592
SC4232,SC,1,0.20010606944561005,0.6804223656654358,0.11947160959243774
SC4232,SC,2,0.026316290721297264,0.026289287954568863,0.9473943710327148
SC4232,SC,3,0.9856113195419312,0.01438850536942482,1.3425923839349707e-07
SC4232,SC,4,0.01762116514146328,0.9823766946792603,2.1033490611443995e-06
SC4232,SC,5,0.002250136574730277,0.25794896483421326,0.7398008704185486
SC4232,SC,6,0.22437824308872223,0.048358023166656494,0.7272637486457825
SC4232,SC,7,0.005687875207513571,0.695377767086029,0.2989344298839569
SC4232,SC,8,0.1390645056962967,0.8601228594779968,0.000812588375993073
SC4232,SC,9,0.7651349306106567,0.23321865499019623,0.0016464859945699573
SC4232,SC,10,0.010335518047213554,0.00072812958387658,0.9889363646507263
SC4232,SC,11,0.6013710498809814,0.36098307371139526,0.0376458615064621
SC4232,SC,12,0.02712210826575756,0.7788115739822388,0.1940663903951645
SC4382,SC,0,0.20794963836669922,0.5370907187461853,0.25495967268943787
SC4382,SC,1,0.2661701440811157,0.554638147354126,0.1791917383670807
SC4382,SC,2,0.14044377207756042,0.02020236663520336,0.8393538594245911
SC4382,SC,3,0.27497410774230957,0.7250257134437561,1.1228618035374893e-07
SC4382,SC,4,0.023362861946225166,0.9753239154815674,0.0013132881140336394
SC4382,SC,5,0.1653963029384613,0.7719802260398865,0.06262346357107162
SC4382,SC,6,0.08659766614437103,0.10387976467609406,0.8095225691795349
SC4382,SC,7,0.14287757873535156,0.41986948251724243,0.4372529089450836
SC4382,SC,8,0.43275293707847595,0.5652695298194885,0.001977551495656371
SC4382,SC,9,0.5987523198127747,0.3692978322505951,0.03194982185959816
SC4382,SC,10,0.0037763197906315327,0.00036788603756576777,0.9958557486534119
SC4382,SC,11,0.7441197633743286,0.049205467104911804,0.2066747546195984
SC4382,SC,12,0.26745539903640747,0.3376239240169525,0.39492058753967285
SC4482,SC,0,0.5639299750328064,0.2842858135700226,0.151784285902977
SC4482,SC,1,0.39212971925735474,0.5212944746017456,0.08657585829496384
SC4482,SC,2,0.07258812338113785,0.012540350668132305,0.9148715138435364
SC4482,SC,3,0.04232821986079216,0.9576706886291504,1.1470115168776829e-06
SC4482,SC,4,0.07973984628915787,0.9201556444168091,0.00010448109242133796
SC4482,SC,5,0.37596365809440613,0.4404553174972534,0.18358103930950165
SC4482,SC,6,0.3563601076602936,0.08529307693243027,0.5583468079566956
SC4482,SC,7,0.8322386145591736,0.05651762709021568,0.11124381422996521
SC4482,SC,8,0.3900967538356781,0.6080941557884216,0.0018090977100655437
SC4482,SC,9,0.22100520133972168,0.728403627872467,0.050591208040714264
SC4482,SC,10,0.01819244585931301,0.0014909650199115276,0.9803165793418884
SC4482,SC,11,0.7722825407981873,0.0939616784453392,0.13375574350357056
SC4482,SC,12,0.20307549834251404,0.6194817423820496,0.1774427741765976
SC4642,SC,0,0.5717414617538452,0.34320369362831116,0.08505482971668243
SC4642,SC,1,0.19051791727542877,0.661424458026886,0.14805762469768524
SC4642,SC,2,0.4961188733577728,0.008141933009028435,0.49573925137519836
SC4642,SC,3,0.0001198131576529704,0.9998791217803955,1.1058724567192257e-06
SC4642,SC,4,0.002510716440156102,0.9971713423728943,0.0003180081257596612
SC4642,SC,5,0.18999283015727997,0.745860755443573,0.06414639204740524
SC4642,SC,6,0.8856927156448364,0.028545379638671875,0.08576195687055588
SC4642,SC,7,0.6169186234474182,0.31394654512405396,0.06913487613201141
SC4642,SC,8,0.030052997171878815,0.9647240042686462,0.005222995299845934
SC4642,SC,9,0.04088325425982475,0.9358327984809875,0.023283852264285088
SC4642,SC,10,0.08528304100036621,0.0002471372135914862,0.9144697785377502
SC4642,SC,11,0.9591411352157593,0.0047265514731407166,0.036132317036390305
SC4642,SC,12,0.17276056110858917,0.27368420362472534,0.5535552501678467
ST7072,ST,0,0.30296385288238525,0.5766065120697021,0.12042954564094543
ST7072,ST,1,0.32707518339157104,0.4328601360321045,0.24006466567516327
ST7072,ST,2,0.7788503766059875,0.2044314593076706,0.01671820878982544
ST7072,ST,3,0.5805291533470154,0.17857246100902557,0.24089840054512024
ST7072,ST,4,0.07232936471700668,0.9271832704544067,0.0004873326397500932
ST7072,ST,5,0.7454048991203308,0.147687166929245,0.10690789669752121
ST7072,ST,6,0.9535672068595886,0.04186714440584183,0.004565562587231398
ST7072,ST,7,0.5139960050582886,0.4794940948486328,0.006509901024401188
ST7072,ST,8,0.7517802119255066,0.22555024921894073,0.02266954816877842
ST7072,ST,9,0.3083651661872864,0.6013588905334473,0.09027591347694397
ST7072,ST,10,0.014838218688964844,0.000964567472692579,0.984197199344635
ST7072,ST,11,0.4272848069667816,0.5724363923072815,0.0002788588171824813
ST7072,ST,12,0.2597794532775879,0.7306154370307922,0.009605105035007
ST7122,ST,0,0.6359447836875916,0.21488210558891296,0.14917312562465668
ST7122,ST,1,0.5030788779258728,0.29349973797798157,0.2034214586019516
ST7122,ST,2,0.605985164642334,0.27182966470718384,0.12218516319990158
ST7122,ST,3,0.5395797491073608,0.26452821493148804,0.1958920657634735
ST7122,ST,4,0.09987969696521759,0.8988834619522095,0.0012368012685328722
ST7122,ST,5,0.5955795645713806,0.2638967037200928,0.14052367210388184
ST7122,ST,6,0.8217508792877197,0.17094701528549194,0.007302100770175457
ST7122,ST,7,0.3540731370449066,0.637395441532135,0.008531322702765465
ST7122,ST,8,0.6205408573150635,0.32990652322769165,0.049552612006664276
ST7122,ST,9,0.24388255178928375,0.6899429559707642,0.06617441028356552
ST7122,ST,10,0.0008065339061431587,0.00023442393285222352,0.9989590644836426
ST7122,ST,11,0.5305838584899902,0.46897923946380615,0.0004369658709038049
ST7122,ST,12,0.45616066455841064,0.524150013923645,0.01968940533697605
ST7131,ST,0,0.6192289590835571,0.20192033052444458,0.1788507103919983
ST7131,ST,1,0.4279363751411438,0.30430224537849426,0.2677614092826843
ST7131,ST,2,0.5414026975631714,0.29601800441741943,0.1625792682170868
ST7131,ST,3,0.5278267860412598,0.18360045552253723,0.2885727882385254
ST7131,ST,4,0.31781354546546936,0.6206464767456055,0.06154000386595726
ST7131,ST,5,0.4453660845756531,0.2284393012523651,0.3261946141719818
ST7131,ST,6,0.8949338793754578,0.055096350610256195,0.04996984079480171
ST7131,ST,7,0.5374377369880676,0.45174640417099,0.010815895162522793
ST7131,ST,8,0.6147341728210449,0.36404457688331604,0.021221255883574486
ST7131,ST,9,0.21445728838443756,0.6090235710144043,0.17651909589767456
ST7131,ST,10,0.006574633996933699,0.0017483767587691545,0.9916770458221436
ST7131,ST,11,0.397308349609375,0.6014050245285034,0.001286591519601643
ST7131,ST,12,0.273347407579422,0.6068698167800903,0.11978274583816528
ST7141,ST,0,0.2806951701641083,0.2699318826198578,0.4493729770183563
ST7141,ST,1,0.39159348607063293,0.45845770835876465,0.14994876086711884
ST7141,ST,2,0.6460660099983215,0.20527668297290802,0.14865732192993164
ST7141,ST,3,0.11248631030321121,0.7291795015335083,0.15833419561386108
ST7141,ST,4,0.048980988562107086,0.9498980045318604,0.0011210179654881358
ST7141,ST,5,0.7632072567939758,0.2064458429813385,0.030346889048814774
ST7141,ST,6,0.4712223410606384,0.5230379104614258,0.005739735439419746
ST7141,ST,7,0.4539685845375061,0.5419123768806458,0.0041190204210579395
ST7141,ST,8,0.22978176176548004,0.7581033706665039,0.012114854529500008
ST7141,ST,9,0.490862637758255,0.36320236325263977,0.14593492448329926
ST7141,ST,10,0.005887997802346945,0.000488589983433485,0.9936234354972839
ST7141,ST,11,0.44974109530448914,0.5500760674476624,0.00018291505693923682
ST7141,ST,12,0.3324519991874695,0.6409796476364136,0.026568297296762466
ST7151,ST,0,1.2651727843149274e-07,0.9999998807907104,3.1431573245836383e-14
ST7151,ST,1,0.022433307021856308,0.9774643778800964,0.00010231426131213084
ST7151,ST,2,0.0010346864582970738,2.0154569568830993e-08,0.9989652633666992
ST7151,ST,3,0.02782711759209633,0.9058212637901306,0.06635157763957977
ST7151,ST,4,0.2105233520269394,0.7743698358535767,0.01510685309767723
ST7151,ST,5,0.8429470658302307,0.016258327290415764,0.14079464972019196
ST7151,ST,6,0.4133097231388092,0.5566413998603821,0.030048852786421776
ST7151,ST,7,0.6716929078102112,0.1607174575328827,0.16758964955806732
ST7151,ST,8,0.13185885548591614,0.8398638367652893,0.02827729657292366
ST7151,ST,9,0.32151544094085693,0.6097334623336792,0.06875113397836685
ST7151,ST,10,0.030701695010066032,0.0016544837271794677,0.9676438570022583
ST7151,ST,11,0.9328736662864685,0.06487303227186203,0.0022533275187015533
ST7151,ST,12,0.711363673210144,0.27246591448783875,0.016170427203178406
ST7162,ST,0,0.5534247159957886,0.3283179700374603,0.11825728416442871
ST7162,ST,1,0.4024863541126251,0.3750193119049072,0.22249433398246765
ST7162,ST,2,0.3626146912574768,0.5054509043693542,0.13193438947200775
ST7162,ST,3,0.3088984489440918,0.4224148094654083,0.2686867415904999
ST7162,ST,4,0.0022025008220225573,0.9977541565895081,4.325983172748238e-05
ST7162,ST,5,0.6674637198448181,0.22378768026828766,0.10874857753515244
ST7162,ST,6,0.7652359008789062,0.19253228604793549,0.04223179444670677
ST7162,ST,7,0.3555574417114258,0.625603973865509,0.018838582560420036
ST7162,ST,8,0.37859252095222473,0.43466615676879883,0.18674129247665405
ST7162,ST,9,0.7684218287467957,0.1392526626586914,0.09232551604509354
ST7162,ST,10,0.06243966892361641,0.0008193917456083,0.9367409348487854
ST7162,ST,11,0.4396391212940216,0.559151828289032,0.0012090730015188456
ST7162,ST,12,0.48876720666885376,0.4655446708202362,0.0456882044672966
ST7192,ST,0,0.2618330121040344,0.32318127155303955,0.41498565673828125
ST7192,ST,1,0.3467858135700226,0.32911863923072815,0.32409554719924927
ST7192,ST,2,0.11619175970554352,0.073149673640728,0.8106585741043091
ST7192,ST,3,0.0956118255853653,0.9004413485527039,0.0039467704482376575
ST7192,ST,4,0.2734598219394684,0.725387692451477,0.0011525012087076902
ST7192,ST,5,0.7235588431358337,0.11515193432569504,0.161289244890213
ST7192,ST,6,0.20532357692718506,0.7919081449508667,0.0027682764921337366
ST7192,ST,7,0.35182520747184753,0.6205007433891296,0.027674078941345215
ST7192,ST,8,0.34824052453041077,0.6059873104095459,0.04577212408185005
ST7192,ST,9,0.2976045608520508,0.6829741597175598,0.01942133530974388
ST7192,ST,10,0.014707543887197971,0.002579208230599761,0.9827132225036621
ST7192,ST,11,0.8262438178062439,0.17238298058509827,0.001373222447000444
ST7192,ST,12,0.3188517987728119,0.6770036220550537,0.0041445656679570675
ST7211,ST,0,0.5367881059646606,0.41935980319976807,0.04385211691260338
ST7211,ST,1,0.3922741711139679,0.4392866790294647,0.168439120054245
ST7211,ST,2,0.6968114972114563,0.18798759579658508,0.11520089954137802
ST7211,ST,3,0.02179478481411934,0.9700313210487366,0.008173936977982521
ST7211,ST,4,0.09929866343736649,0.9006466269493103,5.478014281834476e-05
ST7211,ST,5,0.2521621286869049,0.5654996633529663,0.18233826756477356
ST7211,ST,6,0.5566855072975159,0.4320307970046997,0.01128364447504282
ST7211,ST,7,0.4715777039527893,0.5149474740028381,0.013474849052727222
ST7211,ST,8,0.48591864109039307,0.46137675642967224,0.052704598754644394
ST7211,ST,9,0.20957587659358978,0.17394974827766418,0.616474449634552
ST7211,ST,10,0.004229248035699129,0.00116248382255435,0.9946082830429077
ST7211,ST,11,0.46047094464302063,0.5390491485595703,0.00047992373583838344
ST7211,ST,12,0.7545621991157532,0.21203498542308807,0.03340292349457741
