file,cohort,channel,stage,delta,theta,alpha,sigma,beta
SC4051E0-PSG.edf,SC,EEG Pz-Oz,N3,0.8167230546980109,0.12816853714680734,0.03384184270794032,0.01565208305704476,0.013281119997682514
SC4051E0-PSG.edf,SC,EOG horizontal,N3,0.83157431923387,0.11354320126191696,0.03151888737559894,0.016913050968934272,0.016500379285790727
SC4051E0-PSG.edf,SC,EEG Fpz-Cz,REM,0.6221608606008237,0.25099881256558576,0.08232976811627993,0.022038212047918566,0.029251575598356193
SC4051E0-PSG.edf,SC,EEG Pz-Oz,REM,0.42931359025879057,0.307020614720205,0.2021227876660697,0.03718416371082019,0.04462974519232429
SC4051E0-PSG.edf,SC,EOG horizontal,REM,0.8595083870662372,0.08384032224493587,0.024132371590869024,0.014330918975188383,0.02572348791378321
SC4051E0-PSG.edf,SC,Resp oro-nasal,ALL-night-mean,-4.301273573352927,264.7223396704405,3134.0,,
SC4051E0-PSG.edf,SC,Temp rectal,ALL-night-mean,14.059626444344623,0.15529693233591949,4.319981689173723,,
SC4051E0-PSG.edf,SC,EMG submental,ALL-night-mean,2.4940306147440614,0.6962206128461987,1.866,,
SC4141E0-PSG.edf,SC,EEG Fpz-Cz,Wake,0.809153038895874,0.0874275422714434,0.03927297630325255,0.022048263641667027,0.05383726704537591
SC4141E0-PSG.edf,SC,EEG Pz-Oz,Wake,0.4018026687968703,0.12021861589632876,0.18019096914704313,0.14239021351173595,0.28746258816160286
SC4141E0-PSG.edf,SC,EOG horizontal,Wake,0.9232851172925786,0.04890473504461709,0.013205202545499962,0.006530255424223803,0.010521843060625357
SC4141E0-PSG.edf,SC,EEG Fpz-Cz,N1,0.6255097251771364,0.17292664147129708,0.07318328733401308,0.04582916121936029,0.1157526939497622
SC4141E0-PSG.edf,SC,EEG Pz-Oz,N1,0.5450498284486799,0.19787589043579443,0.13265840876243326,0.07324371326741212,0.11132376105909332
SC4141E0-PSG.edf,SC,EOG horizontal,N1,0.8302228195215994,0.05585946060373248,0.03763141389778609,0.028783424829600546,0.06896850958208416
SC4141E0-PSG.edf,SC,EEG Fpz-Cz,N2,0.7135256478504365,0.19291829089934437,0.034419845308499945,0.03614840842516319,0.04576994222783646
SC4141E0-PSG.edf,SC,EEG Pz-Oz,N2,0.6504074388949451,0.20984919535229749,0.06023908246834872,0.05507756417304266,0.05959233736260301
SC4141E0-PSG.edf,SC,EOG horizontal,N2,0.7610398936276596,0.09482468984415147,0.057692109795308213,0.049208111241638985,0.07874841101106504
SC4141E0-PSG.edf,SC,EEG Fpz-Cz,N3,0.8477965273157109,0.07456280237678842,0.045034360206145506,0.04580650759869882,0.025165287151310806
SC4141E0-PSG.edf,SC,EEG Pz-Oz,N3,0.8312303370460773,0.09575567373392703,0.045173153688247286,0.03520533080766523,0.01984813403582499
SC4141E0-PSG.edf,SC,EOG horizontal,N3,0.8112022196633245,0.09689557994972418,0.04092747858167627,0.030007680153864246,0.04375817690976066
SC4141E0-PSG.edf,SC,EEG Fpz-Cz,REM,0.6432593923546863,0.2179687668338597,0.06359585721500748,0.0422968460636577,0.061502806950095586
SC4141E0-PSG.edf,SC,EEG Pz-Oz,REM,0.5905245514351729,0.16846981433280991,0.14243571496436938,0.06811404257388763,0.08549888755604612
SC4141E0-PSG.edf,SC,EOG horizontal,REM,0.7003863483445029,0.10034009019563907,0.06998474954389676,0.05201783560077674,0.12038949860960035
SC4141E0-PSG.edf,SC,Resp oro-nasal,ALL-night-mean,62.68986453797775,194.70304934718024,1892.0,,
SC4141E0-PSG.edf,SC,Temp rectal,ALL-night-mean,14.236047518011569,0.08773874925564475,3.7619592584115367,,
SC4141E0-PSG.edf,SC,EMG submental,ALL-night-mean,2.8500644654088054,1.1826497624095338,1.6680000000000001,,
SC4181E0-PSG.edf,SC,EEG Fpz-Cz,Wake,0.8471988270204839,0.10174435742712166,0.020343231816225937,0.009448134855826257,0.01787034030885361
SC4181E0-PSG.edf,SC,EEG Pz-Oz,Wake,0.3827019099522056,0.14054208723205894,0.17903412032955815,0.10218879748094147,0.28809687848350957
SC4181E0-PSG.edf,SC,EOG horizontal,Wake,0.9136054936333678,0.04800798546418128,0.014539799368453003,0.007847286436603948,0.01975138369806073
SC4181E0-PSG.edf,SC,EEG Fpz-Cz,N1,0.515154142847439,0.3146125350508853,0.09232001717789101,0.029847266469818824,0.06242646558534322
SC4181E0-PSG.edf,SC,EEG Pz-Oz,N1,0.43115743405204043,0.3157271098830696,0.16867469291748702,0.042110602945813945,0.06394312142329985
SC4181E0-PSG.edf,SC,EOG horizontal,N1,0.7380599787420931,0.1215513400855145,0.06236720167204671,0.0389146576674664,0.06992608910135698
SC4181E0-PSG.edf,SC,EEG Fpz-Cz,N2,0.7472112327630772,0.17854685366783438,0.0376751137392885,0.025727491464756527,0.028493221017137183
SC4181E0-PSG.edf,SC,EEG Pz-Oz,N2,0.6709716463052554,0.21306778299285123,0.06859840831481702,0.03506244217794994,0.03566926970989935
SC4181E0-PSG.edf,SC,EOG horizontal,N2,0.7538971438384743,0.12697399571246518,0.05484008144805029,0.03485506346037064,0.05611288084616521
SC4181E0-PSG.edf,SC,EEG Fpz-Cz,N3,0.8925965959958155,0.07833389792328278,0.019239393289465473,0.010367815742789853,0.0055185332122310166
SC4181E0-PSG.edf,SC,EEG Pz-Oz,N3,0.8377191448341206,0.12480135322594273,0.02486038440744488,0.010281736735544068,0.005549527237465285
SC4181E0-PSG.edf,SC,EOG horizontal,N3,0.8878515467221141,0.08288486686166459,0.015504232502451955,0.008046398838215077,0.0096613936615018
SC4181E0-PSG.edf,SC,EEG Fpz-Cz,REM,0.6358255705251957,0.3101255623626551,0.029754644634986685,0.012167298786418845,0.016257054863930313
SC4181E0-PSG.edf,SC,EEG Pz-Oz,REM,0.5557652579057978,0.3363999846379519,0.07225813438431752,0.0210965168603767,0.023517259726994828
SC4181E0-PSG.edf,SC,EOG horizontal,REM,0.7284478144680064,0.13372373641877286,0.06235054666622551,0.0441967127521697,0.06849693604020472
SC4181E0-PSG.edf,SC,Resp oro-nasal,ALL-night-mean,85.76580793420416,416.42060294557905,2596.0,,
SC4181E0-PSG.edf,SC,Temp rectal,ALL-night-mean,35.65577915292255,0.4039066129290917,7.711636363636362,,
SC4181E0-PSG.edf,SC,EMG submental,ALL-night-mean,2.7987057813255927,0.4925203398661462,1.8599999999999999,,
ST7011J0-PSG.edf,ST,EEG Fpz-Cz,Wake,0.5967452298821093,0.1020839233350811,0.1598931594668474,0.06488785936970007,0.1315888189774391
ST7011J0-PSG.edf,ST,EEG Pz-Oz,Wake,0.43174247785946107,0.11384248164976588,0.2290423990202471,0.11182794930013357,0.215179751471167
ST7011J0-PSG.edf,ST,EOG horizontal,Wake,0.7398744729504312,0.09239055347404285,0.08164869818490032,0.03875300363338898,0.08127819210984955
ST7011J0-PSG.edf,ST,EEG Fpz-Cz,N1,0.6485922035822871,0.1301299876933346,0.08278248569917081,0.04258590535789219,0.12860205216244383
ST7011J0-PSG.edf,ST,EEG Pz-Oz,N1,0.5657127912241877,0.1549636206449749,0.12484343687049694,0.05746406082249646,0.14395676906959948
ST7011J0-PSG.edf,ST,EOG horizontal,N1,0.9289872840189547,0.026000097800227016,0.019854992662627045,0.012920768439078249,0.023218020590342846
ST7011J0-PSG.edf,ST,EEG Fpz-Cz,N2,0.7074548849653558,0.12448374048455356,0.05836333480789606,0.031354764579263485,0.10243172830936993
ST7011J0-PSG.edf,ST,EEG Pz-Oz,N2,0.4275842130294792,0.24874835184858324,0.14692019091582248,0.06943655148902453,0.16300335597489274
ST7011J0-PSG.edf,ST,EOG horizontal,N2,0.8350899737906031,0.07299882068085009,0.039441545111109165,0.02701128549206072,0.047549234310412976
ST7011J0-PSG.edf,ST,EEG Fpz-Cz,N3,0.8689325700812439,0.0700246427391633,0.025289958507757976,0.019123230403569145,0.030860002316707727
ST7011J0-PSG.edf,ST,EEG Pz-Oz,N3,0.6569424525988767,0.19251692282218533,0.07029579170296762,0.04398182827624886,0.06925376913918868
ST7011J0-PSG.edf,ST,EOG horizontal,N3,0.774202416992343,0.10832085875355599,0.0667954400538488,0.03767418020858854,0.04502590390031367
ST7011J0-PSG.edf,ST,EEG Fpz-Cz,REM,0.7255190982039215,0.09786611911689162,0.08411465116110273,0.04267908031198026,0.0849606430179107
ST7011J0-PSG.edf,ST,EEG Pz-Oz,REM,0.36685305710651384,0.17937671576883402,0.229093255557144,0.10929562270957249,0.20944414122802005
ST7011J0-PSG.edf,ST,EOG horizontal,REM,0.9228052868802711,0.03073420245485629,0.02368315462561725,0.012843329685497997,0.020676105642506576
ST7012J0-PSG.edf,ST,EEG Fpz-Cz,Wake,0.8947028853877844,0.04598018981804165,0.019356606191314032,0.013107854718409593,0.03685767900628295
ST7012J0-PSG.edf,ST,EEG Pz-Oz,Wake,0.31763513804517185,0.08675384855517865,0.11435186641432286,0.10639372838068861,0.4761827149369769
ST7012J0-PSG.edf,ST,EOG horizontal,Wake,0.8787089448761196,0.04599317034188735,0.02151291930456459,0.016360312421960004,0.05027947463431704
ST7012J0-PSG.edf,ST,EEG Fpz-Cz,N1,0.48857445795896104,0.12410071933177956,0.08464602231671471,0.06346265908083135,0.2963387596755513
ST7012J0-PSG.edf,ST,EEG Pz-Oz,N1,0.34485342192199503,0.1807379290143866,0.14358564772583798,0.08242057644684969,0.32093164575229904
ST7012J0-PSG.edf,ST,EOG horizontal,N1,0.7086340543151658,0.07173527416120412,0.09889167310711165,0.05811965948255759,0.11410936172001951
ST7012J0-PSG.edf,ST,EEG Fpz-Cz,N2,0.8009905249788792,0.06014951805122241,0.03813186111360206,0.03316053688554778,0.09583300601969377
ST7012J0-PSG.edf,ST,EEG Pz-Oz,N2,0.45808394181624,0.17867910929877642,0.11396468556776042,0.09447866493612748,0.23907611645705815
ST7012J0-PSG.edf,ST,EOG horizontal,N2,0.8842923902091322,0.03553104826991409,0.03864982935456796,0.022475293601304017,0.038960806556581504
ST7012J0-PSG.edf,ST,EEG Fpz-Cz,N3,0.8894772544398036,0.04873100356373074,0.03152574538603682,0.03217670701417926,0.02616462803627997
ST7012J0-PSG.edf,ST,EEG Pz-Oz,N3,0.7575523435430511,0.13880861879544876,0.05809764166095702,0.04578082010794085,0.039293552908146075
ST7012J0-PSG.edf,ST,EOG horizontal,N3,0.707469459151877,0.13883974095647378,0.11460829088146023,0.05148190316921713,0.03144159798345842
ST7012J0-PSG.edf,ST,EEG Fpz-Cz,REM,0.584959589780802,0.13920620538726666,0.07476950476748413,0.09552291925652161,0.19215320168631322
ST7012J0-PSG.edf,ST,EEG Pz-Oz,REM,0.5603679149329197,0.12149170792959296,0.10740100949231263,0.11682691105371655,0.2009798492466256
ST7012J0-PSG.edf,ST,EOG horizontal,REM,0.7710807930103266,0.07208066969519615,0.06657243238590882,0.055129414677972645,0.0842420699512724
ST7051J0-PSG.edf,ST,EEG Fpz-Cz,Wake,0.8910289978966741,0.05500711725479042,0.0165991878190688,0.009374170613408636,0.03133205416350535
ST7051J0-PSG.edf,ST,EEG Pz-Oz,Wake,0.44271485447571535,0.10941750568170995,0.1599265365406814,0.14115428547534511,0.2798814846698793
ST7051J0-PSG.edf,ST,EOG horizontal,Wake,0.880423501192301,0.04280139243556721,0.020643817958887884,0.01662538052021542,0.053218421950336485
ST7051J0-PSG.edf,ST,EEG Fpz-Cz,N1,0.8642365619331536,0.07708600602374684,0.020099142999001788,0.011616643194765961,0.03217949113260834
ST7051J0-PSG.edf,ST,EEG Pz-Oz,N1,0.583849221594551,0.06405476601114635,0.14775460422046402,0.13008091080251621,0.19876478782126367
ST7051J0-PSG.edf,ST,EOG horizontal,N1,0.9204237399590057,0.03502166787030114,0.01253691271593142,0.009854813268947781,0.028490673912783995
ST7051J0-PSG.edf,ST,EEG Fpz-Cz,N2,0.7314193012783475,0.1391598406531196,0.048649292756076504,0.02694068706074997,0.07306034783052764
ST7051J0-PSG.edf,ST,EEG Pz-Oz,N2,0.5333808464265988,0.24176387146330763,0.11493726870352484,0.06403494175214289,0.09673397968583583
ST7051J0-PSG.edf,ST,EOG horizontal,N2,0.9540600263497625,0.014961611073539717,0.013536583775543683,0.007799555293264418,0.016157908366680615
ST7051J0-PSG.edf,ST,EEG Fpz-Cz,N3,0.7337864207695011,0.13838638776141737,0.06313191823870383,0.036033849694286225,0.05652303989928453
ST7051J0-PSG.edf,ST,EEG Pz-Oz,N3,0.5622636813633263,0.267809645057331,0.09591201055377671,0.051871417996430025,0.05934242990175155
ST7051J0-PSG.edf,ST,EOG horizontal,N3,0.9376429615410501,0.025645874981422557,0.01997124296819979,0.011445423916547662,0.015268206544684195
ST7051J0-PSG.edf,ST,EEG Fpz-Cz,REM,0.9533998666578805,0.026313445537133603,0.012320684597836843,0.010440288191978139,0.0058221722291131265
ST7051J0-PSG.edf,ST,EEG Pz-Oz,REM,0.9459664975528617,0.03485367170216767,0.011147981652797751,0.009591160740476603,0.005443044810289434
ST7051J0-PSG.edf,ST,EOG horizontal,REM,0.931757536093268,0.039508981282362576,0.0169048065018387,0.009010718156338315,0.008697692249114751
ST7111J0-PSG.edf,ST,EEG Fpz-Cz,Wake,0.8367984189370604,0.10867366989133463,0.024394672665077475,0.010630894827874401,0.023163118751127587
ST7111J0-PSG.edf,ST,EEG Pz-Oz,Wake,0.6226105448227097,0.08957922991291592,0.08834706299467798,0.07781844311210023,0.19051328847032592
ST7111J0-PSG.edf,ST,EOG horizontal,Wake,0.9110332767370203,0.05697787689719789,0.013482099018738543,0.007082055172510242,0.012992810168342072
ST7111J0-PSG.edf,ST,EEG Fpz-Cz,N1,0.6008390232950018,0.18342837842459286,0.09322129751004975,0.048187661222573425,0.1134755271157332
ST7111J0-PSG.edf,ST,EEG Pz-Oz,N1,0.4838160339656774,0.23387372261863587,0.16546492760420567,0.07075180260481392,0.10186182132299065
ST7111J0-PSG.edf,ST,EOG horizontal,N1,0.7574485976779822,0.09024443135589397,0.07007320514105611,0.03848333946775444,0.07528354484849693
ST7111J0-PSG.edf,ST,EEG Fpz-Cz,N2,0.6984841499356668,0.18573984142570246,0.04466272773197465,0.05253776168571374,0.05877215239866545
ST7111J0-PSG.edf,ST,EEG Pz-Oz,N2,0.6206272901082417,0.22580285800131963,0.06707865925466815,0.061686737350535766,0.07442285794665522
ST7111J0-PSG.edf,ST,EOG horizontal,N2,0.7734181928630448,0.0856859502552785,0.07195862027383794,0.05315494664125876,0.06353089341665237
ST7111J0-PSG.edf,ST,EEG Fpz-Cz,N3,0.8991871185973335,0.05655070056004477,0.01962860376538057,0.023956604195258864,0.0205616543723617
ST7111J0-PSG.edf,ST,EEG Pz-Oz,N3,0.8535087546688227,0.08464072479755835,0.0339384941232261,0.02710567289538064,0.022851326139577785
ST7111J0-PSG.edf,ST,EOG horizontal,N3,0.8480886098339039,0.09811947106819655,0.034716648063531134,0.022633374704061737,0.01361116329011125
ST7111J0-PSG.edf,ST,EEG Fpz-Cz,REM,0.8883053315806564,0.07159246691095825,0.018049614094332637,0.01945565927958157,0.017719738624879227
ST7111J0-PSG.edf,ST,EEG Pz-Oz,REM,0.8799883117172985,0.072469738901414,0.020356527181969713,0.020697711886691977,0.021827384257843755
ST7111J0-PSG.edf,ST,EOG horizontal,REM,0.8872637131834066,0.06233381888552786,0.029726858046164956,0.019345914804309274,0.014879932199707091
