psg_file,cohort,nchan,labels,sfreqs,duration_sec
SC4081E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83880.0
SC4082E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,79020.0
SC4091E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81960.0
SC4092E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,85740.0
SC4101E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81600.0
SC4102E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,85740.0
SC4111E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,79260.0
SC4112E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83400.0
SC4121E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83580.0
SC4122E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,78180.0
SC4131E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84420.0
SC4141E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82680.0
SC4142E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83220.0
SC4151E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,78600.0
SC4152E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,85920.0
SC4161E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,78780.0
SC4162E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82560.0
SC4171E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82260.0
SC4172E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81720.0
SC4181E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82680.0
SC4182E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,85260.0
SC4191E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83220.0
SC4192E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,78300.0
SC4201E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84120.0
SC4202E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,80100.0
SC4211E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84300.0
SC4212E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,80820.0
SC4221E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81000.0
SC4222E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82800.0
SC4231E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82380.0
SC4232E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,79200.0
SC4241E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81060.0
SC4242E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81300.0
SC4251E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82800.0
SC4252E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,79980.0
SC4261F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84000.0
SC4262F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81600.0
SC4271F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,73200.0
SC4272F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,86100.0
SC4281G0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83640.0
SC4282G0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84420.0
SC4291G0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82680.0
SC4292G0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84300.0
SC4301E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,79380.0
SC4302E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84240.0
SC4311E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,80100.0
SC4312E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81000.0
SC4321E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,80700.0
SC4322E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,78480.0
SC4331F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84300.0
SC4332F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82800.0
SC4341F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82500.0
SC4342F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83700.0
SC4351F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81300.0
SC4352F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,75960.0
SC4362F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,67980.0
SC4371F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,85500.0
SC4372F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,85200.0
SC4381F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82500.0
SC4382F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83100.0
SC4401E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,78900.0
SC4402E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83700.0
SC4411E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81840.0
SC4412E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,85740.0
SC4421E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82920.0
SC4422E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,80460.0
SC4431E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84300.0
SC4432E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83400.0
SC4441E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,78600.0
SC4442E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83340.0
SC4451F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83700.0
SC4452F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,80100.0
SC4461F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,80880.0
SC4462F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,85680.0
SC4471F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82200.0
SC4472F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83700.0
SC4481F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,86400.0
SC4482F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,86400.0
SC4491G0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84000.0
SC4492G0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,64080.0
SC4501E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82500.0
SC4502E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83100.0
SC4511E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81360.0
SC4512E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82500.0
SC4522E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83220.0
SC4531E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,78060.0
SC4532E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82320.0
SC4541F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82200.0
SC4542F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,80400.0
SC4551F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83160.0
SC4552F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84300.0
SC4561F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81120.0
SC4562F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84000.0
SC4571F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,85500.0
SC4572F0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,86400.0
SC4581G0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82140.0
SC4582G0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,79020.0
SC4591G0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84600.0
SC4592G0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,61200.0
SC4601E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81900.0
SC4602E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84000.0
SC4611E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,79500.0
SC4612E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81900.0
SC4621E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,78360.0
SC4622E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,85680.0
SC4631E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82740.0
SC4632E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,85440.0
SC4641E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,80400.0
SC4642E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83700.0
