recording_id,label,delta,theta,alpha,sigma,beta,eog_ptp,emg_rms,pz_delta,pz_alpha,pz_sigma
SC4012E0-PSG.edf,Wake,0.917,0.0646,0.0095,0.0042,0.0072,789.3,4.88,0.46,0.1411,0.109
SC4021E0-PSG.edf,N1,0.7378,0.1208,0.0533,0.0337,0.0684,305.2,3.4385,0.5352,0.1788,0.0846
SC4021E0-PSG.edf,N2,0.8727,0.0824,0.0176,0.0182,0.0193,124.9,2.197,0.8389,0.0318,0.0263
SC4021E0-PSG.edf,N3,0.9602,0.0315,0.0047,0.0038,0.0035,161.2,2.084,0.9468,0.007,0.0053
SC4021E0-PSG.edf,REM,0.7657,0.1583,0.0345,0.0167,0.0261,257.5,0.402,0.6279,0.1154,0.0441
SC4021E0-PSG.edf,Wake,0.9022,0.0597,0.0158,0.0098,0.0222,602.7,3.426,0.2849,0.1417,0.1363
SC4022E0-PSG.edf,N1,0.8564,0.0879,0.0257,0.015,0.0253,378.6,3.058,0.8586,0.0306,0.0166
SC4022E0-PSG.edf,N2,0.8814,0.0772,0.0169,0.0191,0.0187,151.4,1.7905,0.8862,0.018,0.0168
SC4022E0-PSG.edf,N3,0.96,0.032,0.0044,0.0041,0.0037,181.1,2.145,0.9601,0.0048,0.0035
SC4022E0-PSG.edf,OTHER,0.9496,0.021,0.0139,0.0062,0.0163,1085.3,3.058,0.9625,0.0115,0.0063
SC4022E0-PSG.edf,REM,0.8217,0.1225,0.0268,0.0128,0.0203,342.1,0.572,0.8357,0.0477,0.0185
SC4022E0-PSG.edf,Wake,0.9441,0.0424,0.0072,0.0036,0.0074,770.1,3.258,0.6552,0.0738,0.0644
SC4031E0-PSG.edf,N1,0.6954,0.1324,0.0742,0.0365,0.0832,176.2,2.647,0.5352,0.1402,0.0475
SC4031E0-PSG.edf,N2,0.8217,0.0806,0.0381,0.0557,0.0546,115.5,2.034,0.704,0.0576,0.0685
SC4031E0-PSG.edf,N3,0.9406,0.0414,0.0115,0.0102,0.0087,144.3,1.991,0.9054,0.0147,0.0119
SC4031E0-PSG.edf,REM,0.6972,0.1621,0.0647,0.0287,0.0636,267.5,0.499,0.5607,0.1512,0.0395
SC4031E0-PSG.edf,Wake,0.7829,0.1141,0.0349,0.0248,0.0657,704.0,3.514,0.3454,0.1723,0.1478
SC4032E0-PSG.edf,N1,0.5844,0.1658,0.0967,0.0489,0.124,227.8,2.975,0.4419,0.2483,0.056
SC4032E0-PSG.edf,N2,0.7353,0.102,0.0565,0.0908,0.0876,118.85,1.9135,0.6174,0.0737,0.0918
SC4032E0-PSG.edf,N3,0.9181,0.0488,0.0147,0.0191,0.0151,153.7,1.569,0.8776,0.0188,0.019
SC4032E0-PSG.edf,REM,0.6829,0.1732,0.0672,0.032,0.0655,275.4,0.493,0.5397,0.1534,0.0464
SC4032E0-PSG.edf,Wake,0.8062,0.1098,0.0296,0.0206,0.0503,780.5,3.65,0.2991,0.1749,0.1571
SC4041E0-PSG.edf,N1,0.6119,0.1671,0.0842,0.0405,0.1122,184.65,2.3175,0.5608,0.1233,0.0421
SC4041E0-PSG.edf,N2,0.6652,0.142,0.0859,0.0851,0.087,98.45,1.32,0.6338,0.0801,0.0706
SC4041E0-PSG.edf,N3,0.8762,0.0667,0.0398,0.0299,0.0159,172.9,1.641,0.8664,0.0289,0.0209
SC4041E0-PSG.edf,OTHER,0.508,0.0889,0.1979,0.0403,0.2071,376.0,1.85,0.9147,0.0336,0.0068
SC4041E0-PSG.edf,REM,0.6562,0.1856,0.0678,0.03,0.065,236.45,0.855,0.6028,0.1142,0.0346
SC4041E0-PSG.edf,Wake,0.8507,0.1005,0.0212,0.0126,0.0279,628.4,2.955,0.4422,0.1183,0.0998
SC4042E0-PSG.edf,N1,0.6118,0.1603,0.0813,0.0418,0.1275,189.6,2.614,0.5527,0.1136,0.0434
SC4042E0-PSG.edf,N2,0.6662,0.1382,0.0827,0.0784,0.0891,88.2,1.857,0.622,0.0835,0.068
SC4042E0-PSG.edf,N3,0.8706,0.0678,0.0406,0.0298,0.0196,137.55,2.171,0.8528,0.036,0.0284
SC4042E0-PSG.edf,OTHER,0.8844,0.049,0.027,0.0129,0.0406,464.9,2.48,0.9143,0.0304,0.0096
SC4042E0-PSG.edf,REM,0.655,0.1804,0.0665,0.0293,0.0699,260.05,0.9545,0.5678,0.1198,0.0373
SC4042E0-PSG.edf,Wake,0.8342,0.1052,0.0244,0.0157,0.0362,534.7,3.023,0.3423,0.1326,0.1189
SC4051E0-PSG.edf,N1,0.582,0.2255,0.1451,0.023,0.041,151.75,2.4595,0.4701,0.1717,0.0275
SC4051E0-PSG.edf,N2,0.7472,0.1559,0.0425,0.0413,0.0379,93.2,1.975,0.6875,0.0558,0.0419
SC4051E0-PSG.edf,N3,0.9014,0.0685,0.0212,0.0128,0.0089,117.4,1.463,0.8739,0.0245,0.0116
SC4051E0-PSG.edf,REM,0.657,0.2429,0.0661,0.0244,0.0318,148.9,0.8015,0.5552,0.1135,0.0358
SC4051E0-PSG.edf,Wake,0.9056,0.0646,0.015,0.0072,0.0126,627.6,2.7595,0.5385,0.1056,0.063
SC4052E0-PSG.edf,N1,0.5674,0.2372,0.1139,0.0331,0.0596,155.65,1.5965,0.4969,0.1414,0.0288
SC4052E0-PSG.edf,N2,0.7041,0.174,0.0526,0.0508,0.0538,103.3,1.218,0.6402,0.0695,0.0493
SC4052E0-PSG.edf,N3,0.9062,0.06,0.0231,0.0126,0.0096,145.9,0.9995,0.8654,0.0262,0.0124
SC4052E0-PSG.edf,OTHER,0.8224,0.072,0.0374,0.0236,0.0704,561.1,2.6465,0.8008,0.0362,0.0231
SC4052E0-PSG.edf,REM,0.6593,0.2112,0.0691,0.0292,0.046,267.05,0.9665,0.5362,0.1218,0.0414
SC4052E0-PSG.edf,Wake,0.8604,0.0924,0.0211,0.0109,0.0209,651.7,2.985,0.5806,0.1067,0.0577
SC4061E0-PSG.edf,N1,0.5718,0.1556,0.1087,0.048,0.1268,258.15,2.5975,0.6587,0.102,0.0292
SC4061E0-PSG.edf,N2,0.7283,0.1351,0.0616,0.0579,0.0565,130.0,1.756,0.741,0.0516,0.0422
SC4061E0-PSG.edf,N3,0.9544,0.0338,0.0072,0.006,0.0052,205.7,1.0905,0.9209,0.0128,0.0092
SC4061E0-PSG.edf,REM,0.6572,0.2084,0.0716,0.03,0.0543,308.15,0.183,0.7284,0.0764,0.03
SC4061E0-PSG.edf,Wake,0.7827,0.0946,0.0323,0.0247,0.0817,1037.5,2.359,0.5364,0.0999,0.0811
SC4062E0-PSG.edf,N1,0.7246,0.1371,0.065,0.033,0.0581,180.65,3.7925,0.629,0.0801,0.0324
SC4062E0-PSG.edf,N2,0.78,0.1124,0.0505,0.0503,0.0425,82.1,2.964,0.7513,0.0484,0.0429
SC4062E0-PSG.edf,N3,0.9595,0.031,0.0059,0.0045,0.0035,134.0,1.161,0.9347,0.0083,0.0062
SC4062E0-PSG.edf,REM,0.7377,0.1695,0.0527,0.0211,0.03,241.8,0.751,0.6815,0.082,0.0287
SC4062E0-PSG.edf,Wake,0.8557,0.0895,0.018,0.0119,0.0305,639.6,3.919,0.438,0.1254,0.0979
SC4071E0-PSG.edf,N1,0.6866,0.11,0.112,0.0548,0.0765,132.8,3.977,0.6186,0.1248,0.0593
SC4071E0-PSG.edf,N2,0.7804,0.0947,0.0644,0.061,0.0484,95.2,3.782,0.6796,0.0939,0.0729
SC4071E0-PSG.edf,N3,0.9446,0.0343,0.0132,0.0076,0.0064,148.5,3.612,0.906,0.0277,0.0108
SC4071E0-PSG.edf,REM,0.681,0.1776,0.082,0.0356,0.0474,217.35,1.0135,0.6093,0.138,0.0614
SC4071E0-PSG.edf,Wake,0.8604,0.0696,0.0285,0.0174,0.0377,453.0,4.1885,0.3098,0.1552,0.1286
SC4072E0-PSG.edf,N1,0.5229,0.1512,0.1586,0.0688,0.1218,201.75,3.3835,0.5306,0.1728,0.065
SC4072E0-PSG.edf,N2,0.6871,0.1188,0.0915,0.095,0.0796,124.4,3.4865,0.6014,0.1154,0.0987
SC4072E0-PSG.edf,N3,0.9342,0.0412,0.0174,0.0119,0.0104,199.3,2.5485,0.8774,0.034,0.0168
SC4072E0-PSG.edf,REM,0.5914,0.177,0.1076,0.0522,0.0841,309.1,1.464,0.5228,0.1704,0.0798
SC4072E0-PSG.edf,Wake,0.769,0.0859,0.0472,0.0352,0.0953,607.3,4.307,0.2881,0.1642,0.1427
SC4081E0-PSG.edf,N1,0.5148,0.1664,0.1096,0.051,0.1696,360.65,2.8015,0.322,0.4292,0.0482
SC4081E0-PSG.edf,N2,0.845,0.085,0.0324,0.0302,0.0288,160.9,2.739,0.7624,0.049,0.03
SC4081E0-PSG.edf,N3,0.9384,0.0406,0.015,0.0104,0.0084,160.65,1.992,0.9008,0.0198,0.0105
SC4081E0-PSG.edf,REM,0.666,0.1855,0.0733,0.0399,0.0592,394.2,2.295,0.6856,0.0928,0.0318
SC4081E0-PSG.edf,Wake,0.8454,0.0789,0.0317,0.0164,0.0449,690.0,2.832,0.4394,0.1669,0.0833
SC4082E0-PSG.edf,N1,0.7227,0.1234,0.0605,0.0333,0.0637,311.0,0.619,0.5886,0.1585,0.0315
SC4082E0-PSG.edf,N2,0.8632,0.0801,0.0303,0.0223,0.0234,146.0,0.614,0.762,0.0507,0.0295
SC4082E0-PSG.edf,N3,0.9571,0.0289,0.0085,0.0065,0.0047,147.15,0.6075,0.9303,0.0124,0.0066
SC4082E0-PSG.edf,REM,0.7256,0.1646,0.0547,0.0273,0.0414,354.55,0.606,0.6847,0.0992,0.0319
SC4082E0-PSG.edf,Wake,0.885,0.0733,0.0178,0.0089,0.0231,593.5,3.2335,0.4852,0.1562,0.0753
SC4091E0-PSG.edf,N1,0.7374,0.1143,0.0462,0.0278,0.087,265.5,3.509,0.6549,0.0961,0.0311
SC4091E0-PSG.edf,N2,0.8194,0.0902,0.0357,0.0388,0.0494,96.3,2.384,0.7946,0.041,0.0389
SC4091E0-PSG.edf,N3,0.9294,0.0434,0.0146,0.0136,0.0124,136.3,2.086,0.9322,0.0122,0.0106
SC4091E0-PSG.edf,OTHER,0.8984,0.0313,0.0203,0.0155,0.045,471.9,3.728,0.8669,0.0346,0.0185
SC4091E0-PSG.edf,REM,0.7808,0.127,0.036,0.0192,0.047,179.0,0.481,0.7442,0.0588,0.0239
SC4091E0-PSG.edf,Wake,0.8191,0.0786,0.0276,0.0213,0.0687,584.9,4.008,0.3523,0.1399,0.1154
SC4092E0-PSG.edf,N1,0.7109,0.0984,0.0495,0.0356,0.1174,239.9,3.076,0.6578,0.0731,0.0366
SC4092E0-PSG.edf,N2,0.7525,0.1167,0.0512,0.064,0.0754,108.1,1.8095,0.7363,0.053,0.0536
SC4092E0-PSG.edf,N3,0.9243,0.0456,0.0157,0.0163,0.0142,147.8,1.223,0.9222,0.0147,0.0122
SC4092E0-PSG.edf,OTHER,0.7692,0.0869,0.036,0.0302,0.1021,704.1,3.328,0.359,0.146,0.1207
SC4092E0-PSG.edf,REM,0.6729,0.1592,0.0551,0.0303,0.0907,170.2,0.556,0.6347,0.0991,0.0338
SC4092E0-PSG.edf,Wake,0.7021,0.0835,0.0495,0.0441,0.1655,581.5,3.216,0.3269,0.1385,0.1193
SC4101E0-PSG.edf,N1,0.7434,0.1309,0.0531,0.0291,0.0599,229.4,2.607,0.7148,0.069,0.0358
SC4101E0-PSG.edf,N2,0.8063,0.0941,0.0425,0.0442,0.047,111.4,1.5,0.7976,0.043,0.0389
SC4101E0-PSG.edf,N3,0.9501,0.0342,0.0111,0.0113,0.0096,182.9,2.336,0.9137,0.0144,0.0128
SC4101E0-PSG.edf,OTHER,0.9003,0.0389,0.0312,0.0181,0.0305,961.8,3.921,0.8007,0.0936,0.0254
SC4101E0-PSG.edf,REM,0.8014,0.1289,0.0323,0.0172,0.0297,287.2,0.411,0.737,0.0611,0.0319
SC4101E0-PSG.edf,Wake,0.8944,0.0742,0.0156,0.01,0.0138,532.4,4.049,0.6685,0.0721,0.0574
SC4102E0-PSG.edf,N1,0.7614,0.1139,0.0539,0.0313,0.0616,207.1,2.992,0.6024,0.1049,0.0548
SC4102E0-PSG.edf,N2,0.8179,0.0873,0.0375,0.0471,0.0452,93.0,2.343,0.7723,0.0453,0.0465
SC4102E0-PSG.edf,N3,0.957,0.0292,0.0079,0.007,0.0062,160.8,0.941,0.9309,0.0109,0.0089
SC4102E0-PSG.edf,OTHER,0.9348,0.0203,0.0145,0.0139,0.0316,728.4,3.882,0.7033,0.067,0.0642
SC4102E0-PSG.edf,REM,0.8224,0.1238,0.0273,0.014,0.0258,314.8,1.047,0.6888,0.0682,0.0389
SC4102E0-PSG.edf,Wake,0.899,0.0698,0.0154,0.0101,0.014,525.3,3.869,0.5625,0.0938,0.0845
SC4111E0-PSG.edf,N1,0.8135,0.1155,0.0415,0.0203,0.0394,388.2,2.853,0.6308,0.0734,0.031
SC4111E0-PSG.edf,N2,0.7549,0.1146,0.0539,0.0435,0.074,96.4,2.8765,0.8207,0.0337,0.022
SC4111E0-PSG.edf,N3,0.9473,0.0355,0.0117,0.0073,0.0062,130.7,2.81,0.9324,0.0135,0.0074
SC4111E0-PSG.edf,OTHER,0.7064,0.1147,0.0676,0.0359,0.1135,377.1,2.872,0.8846,0.0337,0.0122
SC4111E0-PSG.edf,REM,0.6963,0.141,0.0652,0.0436,0.0985,272.6,2.4805,0.7418,0.0645,0.0214
SC4111E0-PSG.edf,Wake,0.8237,0.0959,0.0315,0.0203,0.0486,563.8,2.83,0.4246,0.1226,0.0995
SC4112E0-PSG.edf,N1,0.7668,0.1332,0.0393,0.034,0.0654,288.8,3.3705,0.7021,0.0612,0.0308
SC4112E0-PSG.edf,N2,0.8463,0.094,0.0346,0.031,0.0288,112.55,3.362,0.7934,0.0416,0.0252
SC4112E0-PSG.edf,N3,0.9379,0.0339,0.0164,0.0103,0.008,145.0,3.371,0.9203,0.0175,0.0093
SC4112E0-PSG.edf,REM,0.7151,0.186,0.0507,0.0263,0.047,175.7,3.373,0.7052,0.0681,0.024
SC4112E0-PSG.edf,Wake,0.7852,0.0968,0.0354,0.0255,0.0776,600.4,3.337,0.3324,0.1462,0.1178
SC4121E0-PSG.edf,N1,0.7397,0.1418,0.055,0.0278,0.0384,112.0,2.5385,0.7111,0.0643,0.0244
SC4121E0-PSG.edf,N2,0.8177,0.1208,0.0352,0.0216,0.0228,96.5,1.957,0.8077,0.0387,0.0185
SC4121E0-PSG.edf,N3,0.94,0.0477,0.0074,0.0039,0.0041,145.7,1.537,0.94,0.0065,0.0029
SC4121E0-PSG.edf,OTHER,0.8661,0.0908,0.0122,0.0142,0.0306,22.0,0.014,0.8661,0.0153,0.0163
SC4121E0-PSG.edf,REM,0.714,0.1724,0.0598,0.0252,0.044,128.25,0.8795,0.6686,0.0979,0.0236
SC4121E0-PSG.edf,Wake,0.8551,0.0827,0.027,0.0152,0.0321,569.4,4.163,0.533,0.1393,0.0906
SC4122E0-PSG.edf,N1,0.7816,0.138,0.0441,0.02,0.028,110.5,2.591,0.7347,0.0608,0.0223
SC4122E0-PSG.edf,N2,0.8255,0.1201,0.0312,0.0191,0.0192,100.2,1.946,0.8093,0.0362,0.018
SC4122E0-PSG.edf,N3,0.9494,0.0424,0.0057,0.0032,0.0032,139.55,1.0585,0.9514,0.0062,0.0036
SC4122E0-PSG.edf,REM,0.7553,0.16,0.0504,0.0196,0.0315,165.7,0.891,0.6822,0.0963,0.0248
SC4122E0-PSG.edf,Wake,0.8763,0.0787,0.0217,0.0116,0.0217,555.9,2.88,0.5918,0.1237,0.0743
SC4131E0-PSG.edf,N1,0.6279,0.1303,0.0694,0.0569,0.1679,243.6,2.05,0.6147,0.0823,0.0556
SC4131E0-PSG.edf,N2,0.7444,0.1018,0.0699,0.0662,0.0672,107.3,0.905,0.7175,0.066,0.0483
SC4131E0-PSG.edf,N3,0.9297,0.0501,0.0168,0.0089,0.0063,131.7,0.531,0.9046,0.0144,0.0066
SC4131E0-PSG.edf,REM,0.6622,0.1871,0.0506,0.029,0.084,257.6,0.8095,0.6013,0.1132,0.0456
SC4131E0-PSG.edf,Wake,0.7723,0.093,0.0366,0.0289,0.0947,620.3,3.634,0.5391,0.1115,0.0817
SC4141E0-PSG.edf,N1,0.706,0.1182,0.0632,0.0541,0.0899,187.5,3.415,0.6888,0.0803,0.0571
SC4141E0-PSG.edf,N2,0.7546,0.1144,0.0702,0.0716,0.0503,99.5,1.9455,0.6841,0.0908,0.0832
SC4141E0-PSG.edf,N3,0.9035,0.0556,0.0272,0.0215,0.0126,128.0,1.299,0.8977,0.0258,0.0172
SC4141E0-PSG.edf,REM,0.7128,0.1832,0.0511,0.0263,0.0492,183.5,0.596,0.6064,0.1453,0.0489
SC4141E0-PSG.edf,Wake,0.7885,0.0915,0.0397,0.0273,0.0753,643.3,3.51,0.4596,0.1247,0.1053
SC4142E0-PSG.edf,N1,0.6706,0.134,0.0663,0.0536,0.1042,167.9,3.133,0.6303,0.0942,0.0586
SC4142E0-PSG.edf,N2,0.7468,0.1156,0.0788,0.0696,0.0439,98.65,2.3125,0.6984,0.0965,0.0742
SC4142E0-PSG.edf,N3,0.9152,0.0508,0.0275,0.0156,0.0088,130.5,1.315,0.9219,0.0203,0.011
SC4142E0-PSG.edf,REM,0.693,0.1801,0.054,0.0324,0.0591,166.1,0.97,0.6038,0.1343,0.0512
SC4142E0-PSG.edf,Wake,0.7697,0.0925,0.0426,0.031,0.092,723.4,3.12,0.4653,0.1214,0.1049
SC4151E0-PSG.edf,N1,0.7639,0.1415,0.0493,0.022,0.042,384.6,3.107,0.676,0.0797,0.026
SC4151E0-PSG.edf,N2,0.8067,0.1189,0.0437,0.0403,0.0259,105.95,3.036,0.8092,0.0434,0.037
SC4151E0-PSG.edf,N3,0.94,0.0435,0.0115,0.0098,0.0052,138.0,3.03,0.9552,0.0077,0.0059
SC4151E0-PSG.edf,OTHER,0.8081,0.0846,0.0352,0.0268,0.0728,387.25,3.1275,0.9502,0.0128,0.0057
SC4151E0-PSG.edf,REM,0.7155,0.2094,0.0396,0.0154,0.0236,327.2,1.5155,0.7011,0.0736,0.0171
SC4151E0-PSG.edf,Wake,0.8544,0.0655,0.0258,0.0184,0.0526,532.2,3.088,0.624,0.0896,0.0678
SC4152E0-PSG.edf,N1,0.6532,0.165,0.0587,0.0391,0.0812,249.4,3.542,0.5973,0.0922,0.0442
SC4152E0-PSG.edf,N2,0.7618,0.1358,0.0543,0.0554,0.0359,108.45,3.5215,0.7153,0.0724,0.0686
SC4152E0-PSG.edf,N3,0.9164,0.0568,0.0178,0.0152,0.0076,159.5,3.5345,0.9325,0.0154,0.0132
SC4152E0-PSG.edf,OTHER,0.5735,0.1294,0.0835,0.0882,0.2582,357.2,3.449,0.929,0.0109,0.0049
SC4152E0-PSG.edf,REM,0.6798,0.2191,0.0468,0.022,0.0438,387.55,2.8735,0.6212,0.087,0.0322
SC4152E0-PSG.edf,Wake,0.7149,0.0919,0.0526,0.0436,0.1362,624.0,3.504,0.3488,0.1229,0.115
SC4161E0-PSG.edf,N1,0.8155,0.079,0.0366,0.0326,0.0642,190.6,4.436,0.717,0.0713,0.0506
SC4161E0-PSG.edf,N2,0.8094,0.0689,0.0504,0.0689,0.0626,122.95,3.6565,0.7877,0.0496,0.0756
SC4161E0-PSG.edf,N3,0.9255,0.0399,0.0198,0.0191,0.0136,158.4,2.217,0.9087,0.0221,0.0222
SC4161E0-PSG.edf,OTHER,0.9248,0.0275,0.0186,0.0134,0.0378,566.7,4.337,0.9648,0.0052,0.003
SC4161E0-PSG.edf,REM,0.7881,0.1058,0.0366,0.0314,0.0557,234.05,3.685,0.7865,0.0479,0.037
SC4161E0-PSG.edf,Wake,0.8864,0.0717,0.0146,0.01,0.0256,763.3,4.793,0.7117,0.0585,0.0521
SC4162E0-PSG.edf,N1,0.6633,0.0847,0.0604,0.0674,0.1658,217.45,3.0405,0.7449,0.0656,0.0606
SC4162E0-PSG.edf,N2,0.7685,0.0712,0.0621,0.0859,0.09,116.5,1.665,0.7477,0.0621,0.0934
SC4162E0-PSG.edf,N3,0.906,0.0422,0.0271,0.026,0.0218,145.9,1.6595,0.8858,0.0306,0.0319
SC4162E0-PSG.edf,OTHER,0.5682,0.0836,0.1057,0.0986,0.2446,633.05,3.6545,0.9725,0.0035,0.0024
SC4162E0-PSG.edf,REM,0.6594,0.1367,0.0562,0.0516,0.1209,176.7,1.484,0.6909,0.0734,0.0539
SC4162E0-PSG.edf,Wake,0.7892,0.0884,0.0335,0.0284,0.086,608.4,3.746,0.6482,0.0713,0.0668
SC4171E0-PSG.edf,N1,0.841,0.1334,0.0221,0.0132,0.0116,96.5,2.681,0.664,0.055,0.0224
SC4171E0-PSG.edf,N2,0.8507,0.1154,0.0269,0.0156,0.0082,99.4,2.3865,0.727,0.0449,0.024
SC4171E0-PSG.edf,N3,0.9312,0.0548,0.0113,0.0055,0.0033,138.1,2.722,0.87,0.0194,0.0092
SC4171E0-PSG.edf,OTHER,0.8937,0.0589,0.0218,0.0143,0.0261,332.9,3.979,0.8763,0.0308,0.0164
SC4171E0-PSG.edf,REM,0.7736,0.1809,0.0287,0.0113,0.0188,138.5,0.687,0.6526,0.0554,0.0178
SC4171E0-PSG.edf,Wake,0.7878,0.1341,0.0327,0.0155,0.0359,390.6,3.998,0.6359,0.0805,0.035
SC4172E0-PSG.edf,N1,0.5322,0.341,0.0539,0.0234,0.0582,151.2,4.031,0.3936,0.095,0.0276
SC4172E0-PSG.edf,N2,0.7902,0.1557,0.0328,0.0197,0.0175,123.5,3.759,0.6767,0.0539,0.0244
SC4172E0-PSG.edf,N3,0.904,0.0729,0.0173,0.0094,0.0063,146.0,3.3025,0.832,0.0278,0.0118
SC4172E0-PSG.edf,OTHER,0.791,0.1072,0.0307,0.0239,0.0532,346.15,3.991,0.7998,0.0403,0.0182
SC4172E0-PSG.edf,REM,0.7146,0.2174,0.0379,0.0166,0.0367,256.9,3.562,0.6903,0.0577,0.0214
SC4172E0-PSG.edf,Wake,0.7232,0.157,0.0455,0.0243,0.062,410.9,4.08,0.744,0.058,0.032
SC4181E0-PSG.edf,N1,0.6056,0.2814,0.0537,0.025,0.0487,146.0,2.928,0.4113,0.1411,0.0337
SC4181E0-PSG.edf,N2,0.7799,0.1599,0.0344,0.0201,0.0148,109.05,2.354,0.7048,0.0503,0.0241
SC4181E0-PSG.edf,N3,0.9319,0.0533,0.0098,0.0043,0.003,194.2,2.873,0.9024,0.0143,0.0059
SC4181E0-PSG.edf,REM,0.7082,0.2223,0.0362,0.0142,0.0247,173.85,1.625,0.6464,0.0665,0.025
SC4181E0-PSG.edf,Wake,0.8852,0.0698,0.0196,0.0109,0.0236,555.3,3.022,0.401,0.118,0.1
SC4182E0-PSG.edf,N1,0.5927,0.2672,0.0701,0.033,0.0619,113.3,2.36,0.4947,0.1125,0.0355
SC4182E0-PSG.edf,N2,0.7357,0.1768,0.0448,0.0292,0.0253,133.8,2.369,0.6618,0.0622,0.0322
SC4182E0-PSG.edf,N3,0.9382,0.0468,0.0099,0.0051,0.0039,194.35,2.381,0.9122,0.0131,0.0065
SC4182E0-PSG.edf,REM,0.6737,0.2069,0.0506,0.0217,0.04,225.1,2.367,0.6094,0.0983,0.0358
SC4182E0-PSG.edf,Wake,0.8566,0.08,0.0239,0.0149,0.0379,597.2,1.946,0.3926,0.1264,0.1005
SC4191E0-PSG.edf,N1,0.5948,0.1676,0.0857,0.0536,0.1289,131.1,1.7485,0.5221,0.1414,0.0779
SC4191E0-PSG.edf,N2,0.7067,0.128,0.0774,0.0914,0.0665,91.3,1.643,0.6871,0.0817,0.0786
SC4191E0-PSG.edf,N3,0.9012,0.0584,0.0289,0.0256,0.0124,134.05,1.503,0.9035,0.024,0.0195
SC4191E0-PSG.edf,REM,0.7616,0.144,0.0402,0.0229,0.0442,263.2,0.9035,0.649,0.0816,0.0432
SC4191E0-PSG.edf,Wake,0.7332,0.095,0.0514,0.0448,0.1182,362.9,2.817,0.5878,0.0948,0.0818
SC4192E0-PSG.edf,N1,0.644,0.1752,0.073,0.0496,0.109,112.5,3.492,0.5221,0.1316,0.0824
SC4192E0-PSG.edf,N2,0.7376,0.1169,0.0691,0.085,0.0579,88.1,3.1045,0.7028,0.0726,0.0741
SC4192E0-PSG.edf,N3,0.9002,0.0581,0.0236,0.0238,0.0134,98.0,3.2935,0.9042,0.0212,0.018
SC4192E0-PSG.edf,OTHER,0.689,0.0931,0.052,0.0728,0.2007,478.3,2.947,0.8429,0.0405,0.0281
SC4192E0-PSG.edf,REM,0.7046,0.1652,0.0511,0.0283,0.0538,168.2,2.328,0.6218,0.0927,0.0516
SC4192E0-PSG.edf,Wake,0.7593,0.091,0.045,0.0382,0.1031,183.1,3.5,0.551,0.1048,0.089
